num_image,nom_produit,description,origine,vente,type_produit,,
149,HARICOT TENDRE DE CALIFORNIE 5KG,Les haricots sont les aliments d’origine végétale les plus riches en protéines. Ils sont fortement recommandé pour les vegans,Californie,Au poids,Légumore,,
150,LENTILLE CORAIL TURQUIE 1KG,"La lentille corail est riche en nutriments divers : fibres, protéines végétales, phosphore, zinc, fer et antioxydants. Ces éléments font d'elle une légumineuse excellente pour votre santé.",Turquie,Au poids,Légumore,,
151,COUSCOUS DARI MOYEN EN 1KG,"Le couscous est une semoule très appreciée au Maroc. Elle s'accompagne de sauce tomate, légumes et poisson ou viande. DARI est l'un des formats de couscous les plus populaires au Maroc.",Maghreb,Unité,Autres,,
152,COUSCOUS SAMIA MOYEN 5KG,"Le couscous est une semoule très appreciée au Maroc. Elle s'accompagne de sauce tomate, légumes et poisson ou viande. DARI est l'un des formats de couscous les plus populaires au Maroc.",Maghreb,Unité,Autres,,
153,COUSCOUS FIN DARI 1KG,"Le couscous est une semoule très appreciée au Maroc. Elle s'accompagne de sauce tomate, légumes et poisson ou viande. DARI est l'un des formats de couscous les plus populaires au Maroc.",Maghreb,Unité,Autres,,
154,COUSCOUS SAMIA FIN 5KG,"Le couscous est une semoule très appreciée au Maroc. Elle s'accompagne de sauce tomate, légumes et poisson ou viande. DARI est l'un des formats de couscous les plus populaires au Maroc.",Maghreb,Unité,Autres,,
155,BOULGOUR GROS BRUN 25KG,"Céréale originaire du Moyen Orient, que l'on peut cuisiner comme de la semoule de blé. Son nom signifie littéralement blé concassé. Il n'est donc pas recommandé pour les intolérants au gluten. Pour le cuisiner, on utilise le persil plat. Il pourra aussi être cuisiné comme un riz au lait. ",Turquie,Au poids,Autres,,
156,BOULGOUR BRUN GROS 1KG,"Céréale originaire du Moyen Orient, que l'on peut cuisiner comme de la semoule de blé. Son nom signifie littéralement blé concassé. Il n'est donc pas recommandé pour les intolérants au gluten. Pour le cuisiner, on utilise le persil plat. Il pourra aussi être cuisiné comme un riz au lait. ",Turquie,Au poids,Autres,,
157,BOULGOUR BLOND GROS 1KG,"Céréale originaire du Moyen Orient, que l'on peut cuisiner comme de la semoule de blé. Son nom signifie littéralement blé concassé. Il n'est donc pas recommandé pour les intolérants au gluten. Pour le cuisiner, on utilise le persil plat. Il pourra aussi être cuisiné comme un riz au lait. ",Turquie,Au Poids,Autres,,
158,SEMOULE BLANCHE,"La semoule est une sorte de farine granuleuse, généralement fabriquée à partir de grains de blé dur. La finesse de la mouture peut être réglée de manière à produire des semoules plus ou moins fines.",Monde,Au poids,Autres,,
159,BRAMATA DE MAIS N°269 EN 1KG,Semoule de maïs traditionnelle moyenne. Utilisée pour la préparation de polenta traditionnelle classique et rustique.,Italie,Au poids,Autres,,
